Date;Service;Ligne;Nom_ligne;TP;Nombre_voyageurs_a_lheure_pou_voyageur_retard
2015-11;RER;E;RER E;92.9;13.1
2021-02;Transilien;H;Paris Nord Ouest;95.113;19.464
2014-12;RER;B;RER B;84.6;5.5
2015-11;Transilien;H;Paris Nord Ouest;94.3;16.5
2021-03;RER;A;RER A;88.795;7.924
2014-12;RER;C;RER C;89.3;8.3
2015-11;Transilien;L;Paris Saint-Lazare Sud;80.6;4.2
2021-03;Transilien;P;Paris Est;92.286;11.963
2014-12;RER;D;RER D;84.2;5.3
2015-12;RER;B;RER B;87.995;7.3
2021-03;Transilien;R;Paris Sud Est;89.093;8.168
2014-12;Transilien;J;Paris Saint-Lazare Nord;84.3;5.4
2015-12;Transilien;N;Paris Montparnasse;92.6;12.5
2021-04;RER;B;RER B;88.612;7.781
2014-12;Transilien;N;Paris Montparnasse;94.0;15.7
2015-12;Transilien;P;Paris Est;92.5;12.3
2021-05;RER;A;RER A;93.766;15.041
2014-12;Transilien;P;Paris Est;88.7;7.8
2015-12;Transilien;U;La Verrière - La Défense;92.9;13.1
2021-05;RER;C;RER C;92.896;13.076
2015-01;Transilien;H;Paris Nord Ouest;95.565;21.5
2016-01;Transilien;L;Paris Saint-Lazare Sud;89.0;8.1
2021-06;Transilien;N;Paris Montparnasse;92.274;11.944
2015-01;Transilien;N;Paris Montparnasse;93.886;15.4
2016-01;Transilien;P;Paris Est;89.5;8.5
2021-06;Transilien;R;Paris Sud Est;89.928;8.928
2015-01;Transilien;R;Paris Sud Est;89.231;8.3
2016-02;Transilien;R;Paris Sud Est;88.1;7.4
2021-07;RER;E;RER E;91.978;11.466
2015-03;RER;C;RER C;88.916;8.0
2016-03;Transilien;N;Paris Montparnasse;93.2;13.7
2021-07;Transilien;K;Paris Nord Crépy;93.304;13.935
2015-03;Transilien;H;Paris Nord Ouest;96.064;24.4
2016-04;RER;E;RER E;93.7;14.9
2021-08;Transilien;U;La Verrière - La Défense;97.784;44.135
2015-04;RER;C;RER C;89.282;8.3
2016-04;Transilien;L;Paris Saint-Lazare Sud;89.4;8.4
2021-09;RER;A;RER A;86.326;6.313
2015-04;RER;E;RER E;90.539;9.6
2016-04;Transilien;N;Paris Montparnasse;94.3;16.5
2021-09;RER;B;RER B;81.033;4.272
2015-05;RER;A;RER A;71.217;2.5
2016-04;Transilien;P;Paris Est;89.4;8.4
2021-09;Transilien;R;Paris Sud Est;88.138;7.43
2015-05;RER;B;RER B;86.995;6.7
2016-05;RER;A;RER A;75.3;3.0
2021-09;Transilien;U;La Verrière - La Défense;95.151;19.625
2015-05;Transilien;H;Paris Nord Ouest;95.938;23.6
2016-05;Transilien;U;La Verrière - La Défense;93.5;14.4
2021-10;Transilien;J;Paris Saint-Lazare Nord;91.842;11.258
2015-06;RER;A;RER A;71.15;2.5
2016-06;Transilien;J;Paris Saint-Lazare Nord;90.5;9.5
2021-10;Transilien;U;La Verrière - La Défense;93.772;15.055
2015-06;RER;C;RER C;86.173;6.2
2016-06;Transilien;L;Paris Saint-Lazare Sud;88.3;7.5
2021-12;RER;B;RER B;82.741;4.794
2015-06;RER;D;RER D;82.81;4.8
2016-06;Transilien;P;Paris Est;90.1;9.1
2021-12;Transilien;J;Paris Saint-Lazare Nord;94.681;17.801
2015-06;RER;E;RER E;93.059;13.4
2016-06;Transilien;U;La Verrière - La Défense;91.0;10.1
2021-12;Transilien;N;Paris Montparnasse;95.717;22.347
2015-06;Transilien;H;Paris Nord Ouest;92.322;12.0
2016-07;RER;C;RER C;86.4;6.4
2015-06;Transilien;K;Paris Nord Crépy;90.043;9.0
2016-07;Transilien;J;Paris Saint-Lazare Nord;87.2;6.8
2015-06;Transilien;R;Paris Sud Est;85.187;5.8
2016-07;Transilien;K;Paris Nord Crépy;86.9;6.6
2015-07;Transilien;H;Paris Nord Ouest;92.8;12.9
2016-07;Transilien;P;Paris Est;86.4;6.4
2015-07;Transilien;L;Paris Saint-Lazare Sud;78.5;3.7
2016-09;RER;D;RER D;85.8;6.0
2015-08;RER;B;RER B;92.918;13.1
2016-09;RER;E;RER E;94.4;16.9
2015-08;Transilien;K;Paris Nord Crépy;87.6;7.1
2016-10;Transilien;N;Paris Montparnasse;93.7;14.9
2015-08;Transilien;R;Paris Sud Est;91.2;10.4
2016-11;RER;B;RER B;82.0;4.6
2015-09;RER;B;RER B;89.361;8.4
2016-11;Transilien;H;Paris Nord Ouest;94.4;16.9
